nn1_max50_target_mean,nn1_max100_target_mean,nn1_max200_target_mean,nn1_max500_target_mean,nn3_max50_target_mean,nn3_max100_target_mean,nn3_max200_target_mean,nn3_max500_target_mean,nn5_max50_target_mean,nn5_max100_target_mean,nn5_max200_target_mean,nn5_max500_target_mean,nn10_max50_target_mean,nn10_max100_target_mean,nn10_max200_target_mean,nn10_max500_target_mean,nn1_max50_count,nn1_max100_count,nn1_max200_count,nn1_max500_count,nn3_max50_count,nn3_max100_count,nn3_max200_count,nn3_max500_count,nn5_max50_count,nn5_max100_count,nn5_max200_count,nn5_max500_count,nn10_max50_count,nn10_max100_count,nn10_max200_count,nn10_max500_count,nn1_max50_dist_mean,nn1_max100_dist_mean,nn1_max200_dist_mean,nn1_max500_dist_mean,nn3_max50_dist_mean,nn3_max100_dist_mean,nn3_max200_dist_mean,nn3_max500_dist_mean,nn5_max50_dist_mean,nn5_max100_dist_mean,nn5_max200_dist_mean,nn5_max500_dist_mean,nn10_max50_dist_mean,nn10_max100_dist_mean,nn10_max200_dist_mean,nn10_max500_dist_mean,dist_to_nearest_underperf,dist_to_nearest_normal,underperforming
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,5.39284626960469,5.39284626960469,5.39284626960469,5.39284626960469,18.474249131825925,18.474249131825925,18.474249131825925,18.474249131825925,25.39885998974666,25.39885998974666,25.39885998974666,25.39885998974666,18.37028103076012,18.37028103076012,18.37028103076012,18.37028103076012,40.64589959333533,5.39284626960469,0
0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.0,0.4,0.4,0.4,0.0,0.3,0.4,0.3,1,1,1,1,3,3,3,3,5,5,5,5,9,10,10,10,40.99415429208198,91.1189438206681,130.068331584473,130.068331584473,29.187949364313624,69.2636843584671,98.95507678926408,98.95507678926408,25.220016198102048,73.30150629972488,105.73364881071112,105.73364881071112,26.310856943010023,73.70836486480562,117.89828496631769,128.3572680573868,75.6779549626512,130.068331584473,0
0.0,1.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.2,0.2,0.6,0.6,0.1,0.2,0.4,0.5,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,39.05722095818619,72.7264256018138,124.70865495871135,124.70865495871135,34.2950159324433,45.40737323919353,103.62297146142923,103.62297146142923,38.14767190519909,44.88151283392462,135.9508725003214,135.9508725003214,39.418511189302315,52.44353646896434,100.20384696514638,211.88881927095017,124.70865495871135,113.43383382376251,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.0,0.0,0.0,0.1,0.1,0.0,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,21.98294562839548,21.98294562839548,21.98294562839548,21.98294562839548,18.86278258614479,18.86278258614479,18.86278258614479,18.86278258614479,23.541038342040867,32.78651630399245,35.234926425081724,35.234926425081724,29.59168658731008,42.73023859688482,74.62646836637569,141.1888947139626,318.50094890125547,21.98294562839548,0
0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.4,0.4,0.5,0.4,0.4,0.4,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,26.705489517569667,95.58481437527833,128.57452480355695,128.57452480355695,23.79365495679312,93.18422454394852,127.68253665144414,127.68253665144414,23.88750127871098,86.99448565978172,116.94975957266851,116.94975957266851,24.649204624402522,79.11579123040337,104.7434161493555,104.7434161493555,128.57452480355695,105.54588767986985,0
0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.2,0.0,0.4,0.0,0.4,0.3,0.3,0.0,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,48.63027087312808,77.34598407188473,77.34598407188473,77.34598407188473,34.016683273290255,64.29722314629016,102.27220953719439,209.92429095730844,37.67471612438818,49.26228967712264,95.63875274866356,288.2184189999459,35.83239662695489,54.534897684730495,85.16761102140555,329.02309233123594,499.9225530410254,77.34598407188473,0
0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.3,0.3,0.3,0.3,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,3.0833381469139374,3.0833381469139374,3.0833381469139374,3.0833381469139374,21.39350643586732,21.39350643586732,21.39350643586732,21.39350643586732,21.58489824295572,21.58489824295572,21.58489824295572,21.58489824295572,27.43425369876285,30.263363486552834,30.263363486552834,30.263363486552834,44.041569562361616,3.0833381469139374,0
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4,0.6,0.8,0.8,0.4,0.3,0.5,0.5,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,8.778565187838696,8.778565187838696,108.9981429038714,108.9981429038714,16.210174969141175,51.927484585271486,89.19911383184808,89.19911383184808,16.89775631263856,39.12688269507986,82.920246012704,82.920246012704,15.782136769190279,46.37951636033343,56.95881017522627,56.95881017522627,108.9981429038714,52.96401301374147,0
0.0,0.0,0.0,0.0,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6,0.6,0.6,0.6,0.5,0.5,0.5,0.5,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,10.671209952248446,10.671209952248446,10.671209952248446,10.671209952248446,24.296605908711882,24.296605908711882,24.296605908711882,24.296605908711882,26.435634252349093,26.435634252349093,26.435634252349093,26.435634252349093,25.90435455577857,25.90435455577857,25.90435455577857,25.90435455577857,25.776192753020716,10.671209952248446,0
0.0,0.0,1.0,1.0,0.0,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.0,0.2,0.4,0.4,0.125,0.3,0.3,0.2,1,1,1,1,3,3,3,3,5,5,5,5,8,10,10,10,8.11225060469809,99.13602150159268,107.46070771852166,107.46070771852166,15.716819265021138,66.74669914607054,99.86285151734506,99.86285151734506,10.797859020335162,47.855660925715384,81.86154241552725,128.3850993421648,11.99037054714309,50.945370677174495,65.25084139755161,103.37864240756724,107.46070771852166,99.13602150159268,0
1.0,0.0,0.0,0.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0,0.8,0.6,0.2,1.0,0.6,0.7,0.2,1,1,1,1,1,3,3,3,1,5,5,5,1,10,10,10,4.529540904613878,83.17508614130824,83.17508614130824,83.17508614130824,4.529540904613878,70.34463581451102,130.47104274350744,130.47104274350744,4.529540904613878,54.9331137226997,113.49193794214902,186.54317991887527,4.529540904613878,58.8504366638662,94.58575898352609,226.9081229460322,163.06009585496471,83.17508614130824,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.2,0.2,0.2,0.2,0.1,0.1,0.1,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,0.14455340463797395,0.14455340463797395,0.14455340463797395,0.14455340463797395,2.9263842561646585,2.9263842561646585,2.9263842561646585,2.9263842561646585,5.28294022256944,5.28294022256944,5.28294022256944,5.28294022256944,10.545872204395456,10.545872204395456,10.545872204395456,10.545872204395456,8.17104294386183,0.14455340463797395,0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.1,0.1,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,16.586877107328593,68.89866333861667,68.89866333861667,68.89866333861667,21.09963356114788,32.662133905018244,32.662133905018244,32.662133905018244,18.921418478188375,29.335656227450414,29.335656227450414,29.335656227450414,23.432984364193963,29.270825145369336,29.270825145369336,29.270825145369336,21.508292926967194,68.89866333861667,1
1.0,1.0,1.0,1.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6,0.2,0.2,0.2,0.625,0.4,0.4,0.4,1,1,1,1,3,3,3,3,5,5,5,5,8,10,10,10,27.793006220286376,27.793006220286376,27.793006220286376,27.793006220286376,28.559381216344494,73.71926696840511,76.03385271976477,76.03385271976477,29.545989933856937,70.42848337799558,72.4222646509671,72.4222646509671,22.97036825936589,63.31876296645087,81.06784392756369,139.40435474431047,27.793006220286376,102.68707788304638,1
0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.4,0.0,0.2,0.0,0.2,0.1,0.1,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,45.42770821430106,84.02728417504314,153.82758536668797,153.82758536668797,47.47562226017143,79.75348939649272,148.55582177959977,229.66328603252612,39.49865717125626,78.33683252696122,143.87917024678515,216.28726912499368,35.85673790435144,81.72101348678471,144.13073930505627,200.19700390647995,263.66209036493586,153.82758536668797,0
1.0,1.0,1.0,1.0,0.6666666666666666,0.6666666666666666,1.0,1.0,0.4,0.8,0.6,0.8,0.2,0.7,0.6,0.6,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,43.49505887848902,68.26557751985328,68.26557751985328,68.26557751985328,33.55988482290193,77.43085801280512,93.81232241678042,211.06232377412675,37.28952866577866,66.06833336989655,109.48547167778688,159.44279356818848,36.82458924967854,57.94284009271403,98.33256051468874,151.56786976015786,68.26557751985328,90.01283355488886,1
0.0,0.0,0.0,0.0,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.2,0.2,0.2,0.2,0.2,0.2,0.2,0.2,1,1,1,1,3,3,3,3,5,5,5,5,10,10,10,10,0.15567289730183498,0.15567289730183498,0.15567289730183498,0.15567289730183498,15.881507492220871,15.881507492220871,15.881507492220871,15.881507492220871,20.288449151444905,20.288449151444905,20.288449151444905,20.288449151444905,25.927436372083378,25.927436372083378,25.927436372083378,25.927436372083378,27.341185170182932,0.15567289730183498,0
