iter	Passed	Remaining
0	4	661
1	8	608
2	11	570
3	14	515
4	17	506
5	20	487
6	22	462
7	25	446
8	27	436
9	30	430
10	33	421
11	35	410
12	38	409
13	42	414
14	45	407
15	49	410
16	52	407
17	54	399
18	57	394
19	61	397
20	63	391
21	66	388
22	70	389
23	72	382
24	75	377
25	79	379
26	82	374
27	85	371
28	88	368
29	90	363
30	93	358
31	97	358
32	99	354
33	102	349
34	104	344
35	108	344
36	111	339
37	113	335
38	117	334
39	120	330
40	122	326
41	125	321
42	128	319
43	130	314
44	132	310
45	135	307
46	138	303
47	141	299
48	144	297
49	147	295
50	150	291
51	152	287
52	155	284
53	158	282
54	161	279
55	164	276
56	167	273
57	170	269
58	172	265
59	175	263
60	179	261
61	181	258
62	184	254
63	188	252
64	191	249
65	193	246
66	196	243
67	199	241
68	202	237
69	205	234
70	208	232
71	210	228
72	213	225
73	215	221
74	218	218
75	221	215
76	224	212
77	227	209
78	230	206
79	232	203
80	234	199
81	237	197
82	240	194
83	243	191
84	247	189
85	250	186
86	252	182
87	255	179
88	258	177
89	261	174
90	263	171
91	267	168
92	270	165
93	272	162
94	275	159
95	278	156
96	281	153
97	283	150
98	286	147
99	289	144
100	291	141
101	294	138
102	296	135
103	299	132
104	301	129
105	303	126
106	305	122
107	307	119
108	309	116
109	312	113
110	314	110
111	316	107
112	318	104
113	320	101
114	323	98
115	325	95
116	327	92
117	329	89
118	331	86
119	334	83
120	336	80
121	338	77
122	340	74
123	342	71
124	344	68
125	347	66
126	349	63
127	351	60
128	353	57
129	355	54
130	357	51
131	359	49
132	361	46
133	364	43
134	366	40
135	368	37
136	370	35
137	372	32
138	374	29
139	376	26
140	379	24
141	381	21
142	383	18
143	386	16
144	388	13
145	391	10
146	394	8
147	398	5
148	401	2
149	404	0
